證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥            ,4.15,105,18.49,1.2,106/1
1102,亞泥            ,3.44,105,22.2,0.73,106/1
1103,嘉泥            ,1.86,105,67.19,0.46,106/1
1104,環泥            ,6,105,9.65,0.98,106/1
1108,幸福            ,6.38,105,16.49,0.8,106/1
1109,信大            ,0.99,105,18.8,0.72,106/1
1110,東泥            ,0.66,105,506.67,1.01,106/1
1201,味全            ,0,105,-,2.09,106/1
1203,味王            ,4.09,105,13.74,1.32,106/1
1210,大成            ,4.17,105,11.92,1.63,106/1
1213,大飲            ,0,105,60.37,1.32,106/1
1215,卜蜂            ,3.86,105,14.69,3.13,106/1
1216,統一            ,3.49,105,23.33,3.57,106/1
1217,愛之味          ,0,105,34.96,0.76,106/1
1218,泰山            ,0,105,108.81,2.23,106/1
1219,福壽            ,2.18,105,38.23,1.51,106/1
1220,台榮            ,6.22,105,13.06,0.82,106/1
1225,福懋油          ,2.34,105,31.47,3.57,106/1
1227,佳格            ,2.51,105,29.92,4.81,106/1
1229,聯華            ,7.38,105,11.43,1.14,106/1
1231,聯華食          ,5.99,105,13.49,1.83,106/1
1232,大統益          ,5.41,105,16.67,3.77,106/1
1233,天仁            ,4.51,105,19.59,2.26,106/1
1234,黑松            ,5.93,105,12.27,0.76,106/1
1235,興泰            ,0,105,9.46,0.54,106/1
1236,宏亞            ,1.78,105,51.06,1.01,106/1
1256,鮮活果汁-KY     ,3.03,105,16.31,4.09,106/1
1262,綠悅-KY         ,1.34,105,6.45,1.21,106/1
1301,台塑            ,5.13,105,13.11,1.8,106/1
1303,南亞            ,5.81,105,11.3,1.79,106/1
1304,台聚            ,4.56,105,13.12,0.89,106/1
1305,華夏            ,6.68,105,8.71,1.85,106/1
1307,三芳            ,6.12,105,11.98,1.63,106/1
1308,亞聚            ,4.71,105,13.36,1,106/1
1309,台達化          ,0,105,20.3,0.97,106/1
1310,台苯            ,10.3,105,7.85,1.43,106/1
1312,國喬            ,4.71,105,7.51,1.05,106/1
1313,聯成            ,6.25,105,11.33,0.85,106/1
1314,中石化          ,0,105,177.14,0.56,106/1
1315,達新            ,4.14,105,18.73,0.7,106/1
1316,上曜            ,0,105,-,2.3,106/1
1319,東陽            ,3.64,105,14.91,1.78,106/1
1321,大洋            ,0,105,-,1.21,106/1
1323,永裕            ,5.39,105,11.28,1.73,106/1
1324,地球            ,3.08,105,7.88,0.92,106/1
1325,恆大            ,3.91,105,22.23,1.02,106/1
1326,台化            ,6.11,105,10.97,1.63,106/1
1337,再生-KY         ,0.53,105,9.7,0.37,106/1
1338,廣華-KY         ,3.72,105,13.22,1.48,106/1
1339,昭輝            ,4.29,105,14.56,1.16,106/1
1340,勝悅-KY         ,4.18,105,7.54,1.05,106/1
1402,遠東新          ,3.21,105,19.76,0.7,106/1
1409,新纖            ,2.71,105,22.49,0.57,106/1
1410,南染            ,6.2,105,16.14,1.37,106/1
1413,宏洲            ,0,105,-,1.3,106/1
1414,東和            ,3.06,105,-,0.47,106/1
1416,廣豐            ,11.03,105,6.28,1.12,106/1
1417,嘉裕            ,0,105,-,0.49,106/1
1418,東華            ,0,105,-,3.12,106/1
1419,新紡            ,1.09,105,108.21,1.62,106/1
1423,利華            ,0,105,177.25,0.48,106/1
1432,大魯閣          ,0,105,-,1.28,106/1
1434,福懋            ,4.78,105,16.19,0.82,106/1
1435,中福            ,0,105,-,0.71,106/1
1436,華友聯          ,2.61,105,30.4,1.25,106/1
1437,勤益控          ,2.87,105,6.74,0.66,106/1
1438,裕豐            ,0,105,-,0.97,106/1
1439,中和            ,2.2,105,78.28,1.06,106/1
1440,南紡            ,2.43,105,32.88,0.87,106/1
1441,大東            ,0,105,-,1.05,106/1
1442,名軒            ,9.22,105,7.51,1.06,106/1
1443,立益            ,0,105,-,0.75,106/1
1444,力麗            ,0,105,-,0.85,106/1
1445,大宇            ,3.52,105,24.34,0.62,106/1
1446,宏和            ,1.3,105,92.4,1.8,106/1
1447,力鵬            ,0,105,-,0.74,106/1
1449,佳和            ,0,105,-,1.04,106/1
1451,年興            ,6.42,105,14.97,0.95,106/1
1452,宏益            ,5.21,105,13.8,1.24,106/1
1453,大將            ,0,105,-,0.7,106/1
1454,台富            ,3.65,105,21.61,0.66,106/1
1455,集盛            ,3.08,105,14.52,0.76,106/1
1456,怡華            ,0,105,16.67,1,106/1
1457,宜進            ,4.42,105,53.81,0.75,106/1
1459,聯發            ,0,105,-,0.84,106/1
1460,宏遠            ,4.92,105,15.78,1.47,106/1
1463,強盛            ,13.31,105,4.33,1.46,106/1
1464,得力            ,8.35,105,21.55,1.98,106/1
1465,偉全            ,5.04,105,26.88,0.78,106/1
1466,聚隆            ,0,105,-,0.78,106/1
1467,南緯            ,0,105,-,0.97,106/1
