貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2018-01-03 07:30:00+00:00,111515882197852_10213100251132874,"#食尚精選

#舒芙蕾厚鬆餅 光看就讓編編流口水了
#成真咖啡?http://bit.ly/2CECFgq
---------------
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,876,57
2018-01-03 05:30:00+00:00,111515882197852_1968762543139834,"蝦米～可以不要下雨嗎??
?鄉親專屬LINE?https://goo.gl/aUBhqD",,847,42
2018-01-03 04:40:00+00:00,111515882197852_1078533915620949,"? 新開店 #雞蛋糕控 該吃一波啦～
【店家資訊】? http://bit.ly/2DU37BS

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD",,596,22
2018-01-03 04:01:03+00:00,111515882197852_1078535785620762,"#花絮來了 ? 真的是豬隊友 ?

鎖定今晚十點 ? http://bit.ly/2lJh2nI
【歡慶2018 台北爽吃發發發】

#食尚玩家 ／ 顏永烈／ 夢多 mondo 大谷主水／ 納豆

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD",,231,4
2018-01-03 03:05:00+00:00,111515882197852_1968689796480442,"#食尚玩家

2018衝一波 #台北美食 ?
海陸痛風大拼盤??太浮誇了

鎖定今晚十點【歡慶2018 台北爽吃發發發】
 顏永烈、 夢多 mondo 大谷主水、 納豆
------------
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,438,26
2018-01-03 02:00:00+00:00,111515882197852_1967941346555287,"#變形金剛迷 想去嗎？
---------------
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,352,13
2018-01-03 01:00:00+00:00,111515882197852_1967978836551538,"看完更想吃江戶前壽司了 (餓) ? ? ? 

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,315,3
2018-01-02 23:30:00+00:00,111515882197852_1078129685661372,"? 厚蛋餅＋豆漿 在地人最愛古早味 ?

【店家資訊】? http://bit.ly/2lIbxF8
【完整節目】? http://bit.ly/2lFjr1U

#來去住一晚 ／ 黃鐙輝／ 宅之小惡魔 小CALL

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,2066,66
2018-01-02 22:00:00+00:00,111515882197852_1967935443222544,"可是6點後不吃東西欸?...編編覺得有點難
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,518,29
2018-01-02 17:30:00+00:00,111515882197852_1967929423223146,"太萌了～編編求代購??
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,820,23
2018-01-02 16:00:00+00:00,111515882197852_10213099853202926,"#午夜食餓點 #食尚精選

直衝北海岸吃海鮮?
到萬里吃海鮮怎麼可以錯過花蟹?
萬里花蟹菜單?http://bit.ly/2A5eODv
完整影片?http://bit.ly/2lFNcQ9
---------------
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,3179,199
2018-01-02 15:30:00+00:00,111515882197852_1967780559904699,"#網美必拍 #新景點
拍拍拍拍?????
好酷喔?
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,516,14
2018-01-02 15:00:00+00:00,111515882197852_1967914303224658,"搭著高雄捷運輕鬆?吃美食?
還可以到祕境景點喔?

 #就要醬玩 【高雄吃貨攻略 捷運美食秒殺之旅】
 楊子儀、 哈孝遠、 GTM-Masha 潘君侖
------------
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,202,28
2018-01-02 14:00:00+00:00,111515882197852_10213099138825067,"#食尚精選
#霓虹夜市

?10元炸雞串(好便宜喔)
?起司吐司(超牽絲)
?舞動的椰子 (太酷了)

這個夜市太～好～玩～了?http://bit.ly/2A3M5ii
完整影片?http://bit.ly/2CDf3Zg
---------------
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,2518,102
2018-01-02 12:30:00+00:00,111515882197852_1967944756554946,"? 冬天吃火鍋 怎能錯過 #石頭火鍋
光想到爆香的過程 ~ 好想吃！ ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,1514,68
2018-01-02 11:30:00+00:00,111515882197852_1078098875664453,"#花絮來了 階梯會斷掉？！別嚇小哈啦 ?

鎖定今晚十點 ? http://bit.ly/2A2BO6i
【高雄吃貨攻略 捷運美食秒殺之旅】

#食尚玩家／ 楊子儀／ 哈孝遠／ GTM-Masha 潘君侖

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,1101,5
2018-01-02 10:30:00+00:00,111515882197852_530910770615569,"#94想食 羊肉爐$430吃到飽！號稱全台種類最多
重點還能獨享三芝淺水灣海景～～～
店家資訊看過來?http://bit.ly/2lDXyAh
完整版線上看?https://youtu.be/LspOPiVQOhw

訂閱《YouTube頻道》? http://bit.ly/2lisE1O
?加入食尚玩家LINE好康不漏接 
--- https://goo.gl/aUBhqD",,4170,405
2018-01-02 09:35:00+00:00,111515882197852_1078056819001992,"#花絮來了 美國的珍珠港在哪？ ?

鎖定今晚十點 ? http://bit.ly/2A2BO6i
【高雄吃貨攻略 捷運美食秒殺之旅】

#食尚玩家／ 楊子儀／ 哈孝遠／ GTM-Masha 潘君侖

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,511,4
2018-01-02 08:35:00+00:00,111515882197852_1967847609897994,"巴小鈺竟然要 #放送福利給大家啦 ?
寒流來襲冷颼颼 跟著 巴鈺 & 宅之小惡魔 小CALL 一起泡湯放鬆去 ?

冬天94要泡湯看美景 ?? 不管出外或是在家泡湯 ? 記得喝ion water留住身體的水～別讓身體乾巴巴 ??

#泡湯也有學問要知道
#ionwater
#留住身體的水",,464,5
2018-01-02 07:30:00+00:00,111515882197852_1967797253236363,"台灣人真的很愛日本美食?
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,872,7
2018-01-02 05:30:00+00:00,111515882197852_1967680109914744,"床邊滿滿都是書?真的好文青啊?
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,611,23
2018-01-02 04:30:00+00:00,111515882197852_1967622413253847,"??? 大哥回來了 ?

#食尚玩家／ 浩角翔起笑一個 官方粉絲專頁／ 莎莎公主(鍾欣愉)／ 顏永烈／ 黃鐙輝／ 曾子余／ 楊子儀／ 哈孝遠／ GTM-Masha 潘君侖／ 袁詠琳 Cindy Yen／ 夢多 mondo 大谷主水／ 巴鈺

 ? 跟著我們一起吃喝玩樂 ? https://goo.gl/aUBhqD",,1953,19
2018-01-02 04:00:00+00:00,111515882197852_1967635176585904,"? #草莓季 真是要命的季節~ ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,2768,113
2018-01-02 03:04:00+00:00,111515882197852_1967597526589669,"這次我們要搭著高捷吃美食?

鎖定今晚十點 #就要醬玩  
【高雄吃貨攻略 捷運美食秒殺之旅】
 楊子儀、 哈孝遠、 GTM-Masha 潘君侖
?鄉親專屬LINE?https://goo.gl/aUBhqD
?吃喝玩樂照過來?https://goo.gl/nQZ1PW",,906,44
2018-01-01 15:00:00+00:00,111515882197852_1964782536871168,"#店家資訊 今年就決定從北海岸吃透透 ??? 

#來去住一晚／ 黃鐙輝／ 宅之小惡魔 小CALL

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,555,16
2018-01-01 14:00:00+00:00,111515882197852_1963333203682768,"邪惡的涼麵 ~ 半夜餓了 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,1137,66
2018-01-01 13:30:00+00:00,111515882197852_1966463733369715,"這麼晚買...真的最便宜嗎？?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,774,17
2018-01-01 12:00:00+00:00,111515882197852_1077355019072172,"? 韓國網美必吃 #章魚雞蛋糕 ?

【店家資訊】? http://bit.ly/2Cr8NGk
【完整節目】? http://bit.ly/2C5Q1oB

#食尚玩家／ 浩角翔起笑一個 官方粉絲專頁／ 顏永烈／ 夢多 mondo 大谷主水

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,4609,139
2018-01-01 10:30:00+00:00,111515882197852_1966416830041072,"流星雨 滿月 2018一次滿足 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,2558,116
2018-01-01 09:30:00+00:00,111515882197852_1076509545823386,"#預告 有人是ㄢㄤ不分的嗎 ?

鎖定今晚十點 ? http://bit.ly/2zQOtsH
【2018第一彈 直衝北海岸溫泉海鮮一次滿足】

#來去住一晚／ 黃鐙輝／ 宅之小惡魔 小CALL

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,1283,9
2018-01-01 08:30:00+00:00,111515882197852_1076201215854219,"巧克力控的口袋名單 ?

【店家資訊】? http://bit.ly/2lw92ps
【完整節目】? http://bit.ly/2pBYg69

#就要醬玩／ 楊子儀／ 宅之小惡魔 小CALL／ GTM-AJ 賴煜哲

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,2301,123
2018-01-01 07:30:00+00:00,111515882197852_1077340602406947,"放假就是要瘋狂拍照+打卡 ?
卡娜赫拉在這裡 ? http://bit.ly/2zVYox9

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,1066,23
2018-01-01 06:30:00+00:00,111515882197852_1963463183669770,"? 連假出遊就要醬買！?

跟著阿松逛完 #淘寶天貓 的耶誕城期間限定貨櫃覺得不過癮嗎？快來抓住 ? 網購密技，讓你上網好康優惠拿不斷～

?不要錯過價格超殺交通卡
?不要錯過CP超高行車紀錄器

#每月記得上來搶優惠
鎖定 Tmall 天貓 神秘好禮等你誒 ?

#糖糖尚蓋巧",,344,2
2018-01-01 05:30:00+00:00,111515882197852_1966455610037194,"超商就能買得到「打卡系」單品 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,1008,30
