CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,南港區,6300900,2018-07-13,18:00:00,30,23,67,東南風,3,2,32,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-13,21:00:00,28,22,68,東南風,2,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-14,00:00:00,27,22,72,東南風,2,2,30,多雲,02,0,10,2018-07-13
臺北市,南港區,6300900,2018-07-14,03:00:00,27,23,81,東南風,2,<= 1,29,晴,01,0,10,2018-07-13
臺北市,南港區,6300900,2018-07-14,06:00:00,26,22,79,東南風,2,2,29,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-14,09:00:00,31,24,66,東南風,3,2,34,多雲,02,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-14,12:00:00,34,25,60,東南風,3,2,37,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-14,15:00:00,33,24,60,東南風,2,2,36,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-14,18:00:00,31,23,66,偏東風,3,2,33,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-14,21:00:00,29,22,69,東南風,2,2,31,多雲,02,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-15,00:00:00,28,22,73,東南風,2,<= 1,30,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-15,03:00:00,27,24,83,偏東風,1,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-15,06:00:00,27,23,81,東南風,2,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-15,09:00:00,31,24,69,東南風,2,2,34,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-15,12:00:00,34,25,63,偏東風,3,2,38,多雲,02,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-15,15:00:00,33,25,65,偏東風,4,3,36,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-15,18:00:00,30,24,70,偏東風,4,3,32,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-15,21:00:00,28,22,71,偏東風,2,2,30,多雲,02,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-16,00:00:00,27,23,77,偏東風,1,<= 1,30,晴,01,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-16,03:00:00,27,22,79,偏東風,1,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,南港區,6300900,2018-07-16,06:00:00,26,21,76,偏東風,2,<= 1,29,多雲,02,10,30,2018-07-13
臺北市,南港區,6300900,2018-07-16,09:00:00,30,24,71,偏東風,3,2,34,晴,01,10,30,2018-07-13
臺北市,南港區,6300900,2018-07-16,12:00:00,33,26,67,偏東風,3,2,37,多雲,02,30,30,2018-07-13
臺北市,南港區,6300900,2018-07-16,15:00:00,32,25,67,偏東風,3,2,35,午後短暫雷陣雨,36,30,30,2018-07-13
臺北市,大安區,6300300,2018-07-13,18:00:00,31,23,60,東南風,3,2,33,晴,01,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-13,21:00:00,29,21,62,東南風,2,2,31,多雲,02,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-14,00:00:00,28,22,68,東南風,2,<= 1,31,多雲,02,0,10,2018-07-13
臺北市,大安區,6300300,2018-07-14,03:00:00,27,22,72,東南風,2,<= 1,30,晴,01,0,10,2018-07-13
臺北市,大安區,6300300,2018-07-14,06:00:00,27,21,71,東南風,2,<= 1,29,晴,01,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-14,09:00:00,31,22,59,東南風,4,3,34,多雲,02,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-14,12:00:00,35,23,53,東南風,4,3,37,晴,01,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-14,15:00:00,34,23,55,偏東風,3,2,36,晴,01,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-14,18:00:00,31,22,59,偏東風,5,3,33,晴,01,0,10,2018-07-13
臺北市,大安區,6300300,2018-07-14,21:00:00,30,21,60,東南風,3,2,30,多雲,02,0,10,2018-07-13
臺北市,大安區,6300300,2018-07-15,00:00:00,29,21,66,東南風,2,<= 1,30,晴,01,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-15,03:00:00,28,23,74,偏東風,1,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-15,06:00:00,27,22,73,偏東風,1,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-15,09:00:00,31,22,60,東南風,3,2,34,晴,01,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-15,12:00:00,35,24,56,偏東風,4,3,37,多雲,02,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-15,15:00:00,34,24,61,偏東風,6,4,36,晴,01,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-15,18:00:00,31,23,65,偏東風,6,4,32,晴,01,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-15,21:00:00,30,21,61,偏東風,3,2,29,多雲,02,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-16,00:00:00,28,21,66,偏東風,2,<= 1,30,晴,01,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-16,03:00:00,27,21,68,偏東風,3,2,30,多雲,02,10,10,2018-07-13
臺北市,大安區,6300300,2018-07-16,06:00:00,27,19,65,偏東風,4,3,28,多雲,02,10,20,2018-07-13
臺北市,大安區,6300300,2018-07-16,09:00:00,30,22,62,偏東風,5,3,32,晴,01,10,20,2018-07-13
臺北市,大安區,6300300,2018-07-16,12:00:00,34,25,61,偏東風,5,3,36,多雲,02,20,20,2018-07-13
