CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,南港區,6300900,2018-07-21,12:00:00,31,29,87,西北風,2,2,36,短暫陣雨,26,50,50,2018-07-21
臺北市,南港區,6300900,2018-07-21,15:00:00,31,28,84,偏西風,1,<= 1,35,陰,03,50,50,2018-07-21
臺北市,南港區,6300900,2018-07-21,18:00:00,29,27,88,西南風,1,<= 1,34,陰,03,20,50,2018-07-21
臺北市,南港區,6300900,2018-07-21,21:00:00,28,27,93,偏東風,1,<= 1,33,陰,03,20,50,2018-07-21
臺北市,南港區,6300900,2018-07-22,00:00:00,27,27,97,偏東風,1,<= 1,32,陰,03,20,50,2018-07-21
臺北市,南港區,6300900,2018-07-22,03:00:00,27,27,100,東南風,1,<= 1,32,多雲,02,20,50,2018-07-21
臺北市,南港區,6300900,2018-07-22,06:00:00,27,25,93,西南風,1,<= 1,31,短暫陣雨,26,50,50,2018-07-21
臺北市,南港區,6300900,2018-07-22,09:00:00,30,27,80,偏東風,0,<= 1,36,短暫陣雨,26,50,50,2018-07-21
臺北市,南港區,6300900,2018-07-22,12:00:00,33,30,80,西北風,2,<= 1,40,短暫陣雨或雷雨,36,60,60,2018-07-21
臺北市,南港區,6300900,2018-07-22,15:00:00,32,28,76,偏西風,0,<= 1,37,多雲,02,60,60,2018-07-21
臺北市,南港區,6300900,2018-07-22,18:00:00,30,27,80,偏西風,1,<= 1,36,多雲,02,20,60,2018-07-21
臺北市,南港區,6300900,2018-07-22,21:00:00,29,25,81,西北風,1,<= 1,33,陰,03,20,60,2018-07-21
臺北市,南港區,6300900,2018-07-23,00:00:00,28,25,84,偏西風,2,<= 1,32,陰,03,20,20,2018-07-21
臺北市,南港區,6300900,2018-07-23,03:00:00,27,26,92,偏西風,2,<= 1,31,陰,03,20,20,2018-07-21
臺北市,南港區,6300900,2018-07-23,06:00:00,27,26,93,偏西風,2,<= 1,31,陰,03,20,20,2018-07-21
臺北市,南港區,6300900,2018-07-23,09:00:00,31,29,91,偏西風,2,2,36,陰,03,20,20,2018-07-21
臺北市,南港區,6300900,2018-07-23,12:00:00,33,31,92,偏南風,2,2,39,短暫陣雨或雷雨,36,40,40,2018-07-21
臺北市,南港區,6300900,2018-07-23,15:00:00,33,31,93,偏南風,2,<= 1,39,陰,03,40,40,2018-07-21
臺北市,南港區,6300900,2018-07-23,18:00:00,31,29,94,偏東風,1,<= 1,36,陰,03,20,40,2018-07-21
臺北市,南港區,6300900,2018-07-23,21:00:00,29,28,95,偏北風,1,<= 1,35,陰,03,20,40,2018-07-21
臺北市,南港區,6300900,2018-07-24,00:00:00,28,28,97,西北風,1,<= 1,34,陰,03,50,70,2018-07-21
臺北市,南港區,6300900,2018-07-24,03:00:00,28,27,94,西北風,1,<= 1,32,短暫陣雨,26,50,70,2018-07-21
臺北市,南港區,6300900,2018-07-24,06:00:00,27,25,86,西北風,1,<= 1,31,短暫陣雨,26,70,70,2018-07-21
臺北市,南港區,6300900,2018-07-24,09:00:00,31,27,80,偏北風,1,<= 1,36,短暫陣雨,26,70,70,2018-07-21
臺北市,大安區,6300300,2018-07-21,12:00:00,32,29,86,西北風,2,2,37,短暫陣雨,26,50,50,2018-07-21
臺北市,大安區,6300300,2018-07-21,15:00:00,31,28,82,偏西風,2,<= 1,36,陰,03,50,50,2018-07-21
臺北市,大安區,6300300,2018-07-21,18:00:00,30,27,84,偏西風,1,<= 1,34,陰,03,20,50,2018-07-21
臺北市,大安區,6300300,2018-07-21,21:00:00,29,27,91,偏東風,1,<= 1,34,陰,03,20,50,2018-07-21
臺北市,大安區,6300300,2018-07-22,00:00:00,28,27,94,東北風,1,<= 1,33,陰,03,20,60,2018-07-21
臺北市,大安區,6300300,2018-07-22,03:00:00,28,27,98,偏北風,1,<= 1,32,多雲,02,20,60,2018-07-21
臺北市,大安區,6300300,2018-07-22,06:00:00,27,26,91,偏西風,1,<= 1,31,短暫陣雨,26,60,60,2018-07-21
臺北市,大安區,6300300,2018-07-22,09:00:00,31,28,80,西北風,0,<= 1,36,短暫陣雨,26,60,60,2018-07-21
臺北市,大安區,6300300,2018-07-22,12:00:00,34,31,80,西北風,1,<= 1,41,短暫陣雨或雷雨,36,60,60,2018-07-21
臺北市,大安區,6300300,2018-07-22,15:00:00,33,27,72,偏西風,1,<= 1,38,多雲,02,60,60,2018-07-21
臺北市,大安區,6300300,2018-07-22,18:00:00,31,27,77,西南風,1,<= 1,36,多雲,02,20,60,2018-07-21
臺北市,大安區,6300300,2018-07-22,21:00:00,30,26,79,西北風,2,<= 1,34,陰,03,20,60,2018-07-21
臺北市,大安區,6300300,2018-07-23,00:00:00,29,26,83,偏西風,2,2,33,陰,03,20,20,2018-07-21
臺北市,大安區,6300300,2018-07-23,03:00:00,28,27,91,偏西風,2,<= 1,32,陰,03,20,20,2018-07-21
臺北市,大安區,6300300,2018-07-23,06:00:00,28,26,91,偏西風,2,<= 1,32,陰,03,20,20,2018-07-21
臺北市,大安區,6300300,2018-07-23,09:00:00,31,28,87,偏西風,2,<= 1,37,陰,03,20,20,2018-07-21
臺北市,大安區,6300300,2018-07-23,12:00:00,33,31,88,偏南風,0,<= 1,40,短暫陣雨或雷雨,36,50,50,2018-07-21
臺北市,大安區,6300300,2018-07-23,15:00:00,33,31,89,東南風,2,<= 1,41,陰,03,50,50,2018-07-21
臺北市,大安區,6300300,2018-07-23,18:00:00,31,29,90,偏北風,1,<= 1,37,陰,03,20,50,2018-07-21
臺北市,大安區,6300300,2018-07-23,21:00:00,30,29,93,西北風,1,<= 1,35,陰,03,20,50,2018-07-21
臺北市,大安區,6300300,2018-07-24,00:00:00,29,28,96,西北風,2,<= 1,34,陰,03,40,40,2018-07-21
臺北市,大安區,6300300,2018-07-24,03:00:00,28,27,93,西北風,1,<= 1,33,短暫陣雨,26,40,40,2018-07-21
臺北市,大安區,6300300,2018-07-24,06:00:00,28,25,84,偏北風,1,<= 1,32,短暫陣雨,26,40,40,2018-07-21
臺北市,大安區,6300300,2018-07-24,09:00:00,31,28,80,西北風,0,<= 1,37,短暫陣雨,26,40,40,2018-07-21
臺北市,內湖區,6301000,2018-07-21,12:00:00,32,29,87,西北風,2,<= 1,37,短暫陣雨,26,50,50,2018-07-21
臺北市,內湖區,6301000,2018-07-21,15:00:00,31,28,84,偏西風,1,<= 1,36,陰,03,50,50,2018-07-21
臺北市,內湖區,6301000,2018-07-21,18:00:00,30,27,87,西南風,1,<= 1,35,陰,03,20,50,2018-07-21
臺北市,內湖區,6301000,2018-07-21,21:00:00,28,27,93,偏東風,1,<= 1,33,陰,03,20,50,2018-07-21
臺北市,內湖區,6301000,2018-07-22,00:00:00,28,27,96,東北風,1,<= 1,33,陰,03,20,50,2018-07-21
臺北市,內湖區,6301000,2018-07-22,03:00:00,27,27,99,東南風,1,<= 1,32,多雲,02,20,50,2018-07-21
臺北市,內湖區,6301000,2018-07-22,06:00:00,27,26,92,西南風,1,<= 1,32,短暫陣雨,26,50,50,2018-07-21
臺北市,內湖區,6301000,2018-07-22,09:00:00,31,28,80,東北風,0,<= 1,36,短暫陣雨,26,50,50,2018-07-21
臺北市,內湖區,6301000,2018-07-22,12:00:00,34,31,80,西北風,1,<= 1,41,短暫陣雨或雷雨,36,60,60,2018-07-21
臺北市,內湖區,6301000,2018-07-22,15:00:00,33,28,75,偏西風,0,<= 1,38,多雲,02,60,60,2018-07-21
臺北市,內湖區,6301000,2018-07-22,18:00:00,31,27,79,西南風,1,<= 1,37,多雲,02,20,60,2018-07-21
臺北市,內湖區,6301000,2018-07-22,21:00:00,30,26,81,西北風,1,<= 1,34,陰,03,20,60,2018-07-21
臺北市,內湖區,6301000,2018-07-23,00:00:00,29,26,84,偏西風,2,<= 1,33,陰,03,20,20,2018-07-21
臺北市,內湖區,6301000,2018-07-23,03:00:00,28,26,91,偏西風,1,<= 1,32,陰,03,20,20,2018-07-21
臺北市,內湖區,6301000,2018-07-23,06:00:00,28,26,92,偏西風,2,<= 1,32,陰,03,20,20,2018-07-21
臺北市,內湖區,6301000,2018-07-23,09:00:00,31,29,90,偏西風,2,<= 1,37,陰,03,20,20,2018-07-21
臺北市,內湖區,6301000,2018-07-23,12:00:00,33,32,91,偏南風,1,<= 1,40,短暫陣雨或雷雨,36,40,40,2018-07-21
臺北市,內湖區,6301000,2018-07-23,15:00:00,33,31,92,東南風,2,<= 1,40,陰,03,40,40,2018-07-21
臺北市,內湖區,6301000,2018-07-23,18:00:00,31,29,93,東北風,1,<= 1,37,陰,03,20,40,2018-07-21
臺北市,內湖區,6301000,2018-07-23,21:00:00,29,28,95,偏北風,1,<= 1,35,陰,03,20,40,2018-07-21
臺北市,內湖區,6301000,2018-07-24,00:00:00,29,28,97,西北風,1,<= 1,34,陰,03,50,50,2018-07-21
臺北市,內湖區,6301000,2018-07-24,03:00:00,28,27,94,西北風,1,<= 1,33,短暫陣雨,26,50,50,2018-07-21
臺北市,內湖區,6301000,2018-07-24,06:00:00,28,25,85,偏西風,1,<= 1,32,短暫陣雨,26,40,50,2018-07-21
臺北市,內湖區,6301000,2018-07-24,09:00:00,31,28,80,偏北風,0,<= 1,37,短暫陣雨,26,40,50,2018-07-21
臺北市,大同區,6300600,2018-07-21,12:00:00,32,29,85,西北風,3,2,37,短暫陣雨,26,50,50,2018-07-21
臺北市,大同區,6300600,2018-07-21,15:00:00,31,28,82,偏西風,2,<= 1,36,陰,03,50,50,2018-07-21
臺北市,大同區,6300600,2018-07-21,18:00:00,30,27,84,偏西風,2,<= 1,35,陰,03,20,50,2018-07-21
臺北市,大同區,6300600,2018-07-21,21:00:00,29,28,92,偏東風,1,<= 1,34,陰,03,20,50,2018-07-21
臺北市,大同區,6300600,2018-07-22,00:00:00,29,28,94,東北風,1,<= 1,34,陰,03,20,60,2018-07-21
臺北市,大同區,6300600,2018-07-22,03:00:00,28,28,98,東南風,1,<= 1,33,多雲,02,20,60,2018-07-21
臺北市,大同區,6300600,2018-07-22,06:00:00,28,26,92,西南風,1,<= 1,32,短暫陣雨,26,60,60,2018-07-21
臺北市,大同區,6300600,2018-07-22,09:00:00,31,28,80,偏西風,0,<= 1,37,短暫陣雨,26,60,60,2018-07-21
臺北市,大同區,6300600,2018-07-22,12:00:00,34,31,80,西北風,2,<= 1,41,短暫陣雨或雷雨,36,50,50,2018-07-21
臺北市,大同區,6300600,2018-07-22,15:00:00,33,27,71,偏西風,1,<= 1,38,短暫陣雨或雷雨,36,50,50,2018-07-21
臺北市,大同區,6300600,2018-07-22,18:00:00,32,27,76,偏南風,2,<= 1,37,多雲,02,20,50,2018-07-21
臺北市,大同區,6300600,2018-07-22,21:00:00,30,26,79,西北風,1,<= 1,35,多雲,02,20,50,2018-07-21
臺北市,大同區,6300600,2018-07-23,00:00:00,30,27,83,偏西風,2,2,34,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,03:00:00,29,27,89,偏西風,2,<= 1,33,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,06:00:00,28,27,90,偏西風,2,2,33,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,09:00:00,32,29,88,偏西風,2,2,37,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,12:00:00,34,31,88,偏南風,0,<= 1,40,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,15:00:00,33,31,89,東南風,2,2,41,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,18:00:00,32,30,91,偏北風,1,<= 1,37,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-23,21:00:00,30,29,93,西北風,1,<= 1,36,陰,03,20,20,2018-07-21
臺北市,大同區,6300600,2018-07-24,00:00:00,29,29,96,西北風,1,<= 1,35,陰,03,30,60,2018-07-21
