年月,上市股票-平均每股市值(元),上市股票-平均每股盈餘(元),上市股票-平均每股淨值(元),上市股票-本益比(％),上市股票-成交值週轉率(％),上市股票-市值占 GDP比率(％)
10601,39.62,2.33,24.06,16.86,3.71,160.47
10602,41,2.37,24.29,17.13,6.15,165.17
10603,41.25,2.55,24.83,16.1,6.78,166.4
10604,41.46,2.54,24.81,16.06,5.18,168.52
10605,42.15,2.67,25.22,15.66,5.65,171.52
10606,43.63,2.67,25.2,16.22,6.52,178.08
10607,43.75,2.67,25.14,16.4,6.08,178.71
10608,44.33,2.72,24.38,16.27,7.68,181.73
10609,43.47,2.71,24.32,15.97,8.12,178.66
10610,45.22,2.7,24.36,16.69,6.7,185.84
10611,44.26,2.85,25.29,15.5,8.65,181.26
10612,44.61,2.85,25.28,15.66,7.18,182.85
10701,46.61,2.85,25.28,16.35,8.43,186.13
10702,45.41,2.84,25.49,15.94,5.09,181.41
10703,45.82,2.94,26.18,15.58,7.95,183.17
10704,45.02,2.93,26.1,15.36,7.03,178.27
