資料日期,證券代號,持股分級,人數,股數,佔集保庫存數比例%
20180622,0050,1,15897,3821737,0.45
20180622,0050,2,33908,64668313,7.72
20180622,0050,3,3611,28296918,3.37
20180622,0050,4,940,12101788,1.44
20180622,0050,5,585,10747613,1.28
20180622,0050,6,505,12947960,1.54
20180622,0050,7,201,7169748,0.85
20180622,0050,8,140,6448016,0.76
20180622,0050,9,234,16639220,1.98
20180622,0050,10,87,12309041,1.46
20180622,0050,11,49,14103616,1.68
20180622,0050,12,14,7071165,0.84
20180622,0050,13,4,2785000,0.33
20180622,0050,14,4,3715000,0.44
20180622,0050,15,55,634676865,75.78
20180622,0050,16,1,2000,0.00
20180622,0050,17,56234,837500000,100.00
20180622,0051,1,234,36476,0.40
20180622,0051,2,1384,2709542,30.10
20180622,0051,3,136,1084048,12.04
20180622,0051,4,39,499000,5.54
20180622,0051,5,25,478000,5.31
20180622,0051,6,12,319934,3.55
20180622,0051,7,8,268000,2.97
20180622,0051,8,6,279000,3.10
20180622,0051,9,8,566000,6.28
20180622,0051,10,4,521000,5.78
20180622,0051,11,2,424000,4.71
20180622,0051,12,1,467000,5.18
20180622,0051,13,2,1348000,14.97
20180622,0051,14,0,0,0.00
20180622,0051,15,0,0,0.00
20180622,0051,16,0,0,0.00
20180622,0051,17,1861,9000000,100.00
20180622,0052,1,572,136952,2.10
20180622,0052,2,308,570104,8.77
20180622,0052,3,32,273108,4.20
20180622,0052,4,5,60000,0.92
20180622,0052,5,8,142227,2.18
20180622,0052,6,2,49609,0.76
20180622,0052,7,1,32000,0.49
20180622,0052,8,0,0,0.00
20180622,0052,9,2,167000,2.56
20180622,0052,10,4,573000,8.81
20180622,0052,11,1,317000,4.87
20180622,0052,12,0,0,0.00
20180622,0052,13,0,0,0.00
20180622,0052,14,0,0,0.00
20180622,0052,15,1,4179000,64.29
20180622,0052,16,0,0,0.00
20180622,0052,17,936,6500000,100.00
20180622,0053,1,41,3348,0.05
20180622,0053,2,664,1410652,23.55
20180622,0053,3,104,895000,14.94
20180622,0053,4,15,199000,3.32
20180622,0053,5,24,457000,7.63
20180622,0053,6,4,101000,1.68
20180622,0053,7,2,72000,1.20
20180622,0053,8,4,182000,3.03
20180622,0053,9,3,223000,3.72
20180622,0053,10,0,0,0.00
20180622,0053,11,1,205000,3.42
20180622,0053,12,1,469000,7.83
20180622,0053,13,0,0,0.00
20180622,0053,14,0,0,0.00
20180622,0053,15,1,1771000,29.57
20180622,0053,16,0,0,0.00
20180622,0053,17,864,5988000,100.00
20180622,0054,1,45,1771,0.01
20180622,0054,2,893,1925598,16.56
20180622,0054,3,157,1354000,11.64
20180622,0054,4,50,673000,5.78
20180622,0054,5,42,816000,7.01
20180622,0054,6,13,333631,2.87
20180622,0054,7,10,385000,3.31
20180622,0054,8,7,329000,2.83
20180622,0054,9,6,532000,4.57
20180622,0054,10,5,734000,6.31
20180622,0054,11,3,976000,8.39
20180622,0054,12,1,575000,4.94
20180622,0054,13,0,0,0.00
20180622,0054,14,0,0,0.00
20180622,0054,15,1,2989000,25.71
20180622,0054,16,0,0,0.00
20180622,0054,17,1233,11624000,100.00
20180622,0055,1,145,20955,0.06
20180622,0055,2,2315,5240860,15.57
20180622,0055,3,485,4144337,12.31
20180622,0055,4,122,1618000,4.80
20180622,0055,5,126,2378848,7.06
20180622,0055,6,75,2031000,6.03
20180622,0055,7,45,1632000,4.84
20180622,0055,8,32,1551000,4.60
20180622,0055,9,49,3602000,10.70
20180622,0055,10,20,2721000,8.08
20180622,0055,11,9,2431000,7.22
20180622,0055,12,1,501000,1.48
